,Band4,Band5,Band6
1288,23,127,66
1289,23,127,66
1290,24,111,64
1291,14,84,41
1292,32,70,79
1293,17,99,52
1294,24,105,68
1295,35,115,84
1296,22,97,55
1297,16,103,44
1298,32,111,44
1299,24,111,64
1300,22,97,55
1301,16,103,44
1302,23,91,55
1303,14,84,41
1304,14,84,41
1305,26,111,60
1306,17,99,52
1307,23,83,49
1308,16,117,47
1309,23,91,55
1310,27,90,80
1311,27,137,64
1312,35,130,62
1313,17,99,52
1314,24,110,59
1315,35,115,84
1316,27,90,80
1317,27,137,64
1318,38,131,78
1319,19,126,56
1320,22,97,55
1321,178,170,61
1322,25,72,51
1323,23,127,66
1324,23,97,56
1325,24,110,59
1326,23,83,49
1327,14,44,21
1328,179,190,96
1329,38,70,80
1330,27,137,64
1331,19,126,56
1332,35,130,62
1333,22,97,55
1334,32,111,44
1335,16,117,47
1336,30,86,83
1337,23,91,55
1338,26,111,60
1339,17,99,52
1340,14,44,21
1341,16,103,44
1342,25,72,51
1343,20,103,50
1344,19,126,56
1345,20,103,50
1346,24,105,68
1347,212,205,89
1348,24,110,59
1349,23,91,55
1350,17,99,52
1351,39,73,73
1352,17,99,52
1353,32,111,44
1354,24,132,53
1355,26,111,60
1356,33,68,76
1357,38,131,78
1358,16,103,44
1359,16,117,47
1360,35,115,84
1361,27,90,80
1362,16,117,47
1363,26,111,60
1364,16,103,44
1365,32,111,44
1366,35,130,62
1367,24,105,68
1368,23,91,55
1369,19,126,56
1370,27,137,64
1371,24,111,64
1372,23,97,56
1373,27,90,80
1374,17,99,52
1375,14,84,41
1376,212,205,89
1377,27,90,80
1378,23,91,55
1379,22,97,55
1380,64,83,101
1381,38,131,78
1382,32,111,44
1383,35,115,84
1384,27,137,64
1385,38,131,78
1386,19,126,56
1387,20,103,50
1388,35,115,84
1389,22,97,55
1390,23,127,66
1391,39,73,73
1392,14,84,41
1393,23,83,49
1394,54,129,117
1395,38,131,78
1396,38,131,78
1397,16,103,44
1398,16,117,47
1399,23,91,55
1400,35,130,62
1401,26,111,60
1402,38,131,78
1403,24,105,68
1404,17,99,52
1405,25,72,51
1406,38,131,78
1407,23,127,66
1408,23,127,66
1409,35,130,62
1410,35,130,62
1411,24,110,59
1412,35,115,84
1413,27,137,64
1414,28,12,9
1415,39,73,73
1416,27,137,64
1417,24,105,68
1418,25,72,51
1419,38,131,78
1420,38,131,78
1421,16,103,44
1422,22,97,55
1423,24,105,68
1424,30,83,69
1425,24,132,53
1426,22,97,55
1427,19,126,56
1428,27,90,80
1429,14,44,21
1430,16,103,44
1431,19,126,56
1432,24,111,64
1433,35,115,84
1434,27,90,80
1435,38,131,78
1436,23,97,56
1437,17,99,52
1438,38,131,78
1439,16,117,47
1440,24,110,59
1441,17,99,52
1442,28,12,9
1443,32,70,79
1444,23,97,56
1445,24,110,59
1446,17,99,52
1447,23,83,49
1448,22,97,55
1449,14,84,41
1450,23,127,66
1451,26,111,60
1452,17,99,52
1453,25,72,51
1454,25,72,51
1455,22,97,55
1456,22,97,55
1457,19,126,56
1458,38,36,25
1459,27,90,80
1460,38,131,78
1461,33,68,76
1462,26,111,60
1463,22,97,55
1464,38,131,78
1465,16,103,44
1466,179,190,96
1467,30,86,83
1468,35,115,84
1469,25,72,51
1470,16,117,47
1471,23,83,49
1472,27,137,64
1473,22,97,55
1474,38,131,78
1475,27,137,64
1476,14,44,21
1477,23,91,55
1478,24,132,53
1479,22,97,55
1480,14,44,21
1481,24,105,68
1482,23,91,55
1483,35,130,62
1484,25,72,51
1485,16,117,47
1486,179,190,96
1487,44,79,90
1488,23,97,56
1489,23,91,55
1490,17,99,52
1491,23,83,49
1492,25,87,69
1493,26,111,60
1494,28,12,9
1495,16,103,44
1496,16,117,47
1497,23,91,55
1498,16,103,44
1499,26,111,60
1500,22,77,53
1501,32,111,44
1502,16,117,47
1503,35,115,84
1504,27,90,80
1505,17,99,52
1506,22,97,55
1507,38,131,78
1508,16,117,47
1509,23,83,49
1510,22,77,53
1511,22,77,53
1512,38,131,78
1513,32,111,44
1514,24,105,68
1515,17,99,52
1516,25,72,51
1517,25,72,51
1518,22,97,55
1519,38,36,25
1520,33,68,76
1521,20,79,44
1522,23,97,56
1523,27,137,64
1524,22,77,53
1525,19,126,56
1526,219,213,84
1527,212,205,89
1528,16,117,47
1529,25,72,51
1530,14,84,41
1531,24,110,59
1532,35,115,84
1533,22,77,53
1534,22,97,55
1535,22,97,55
1536,14,44,21
1537,54,129,117
1538,24,110,59
1539,14,44,21
1540,16,103,44
1541,14,84,41
1542,47,73,99
1543,23,91,55
1544,22,77,53
1545,25,72,51
1546,25,72,51
1547,23,83,49
1548,14,44,21
1549,16,117,47
1550,219,213,84
1551,24,87,60
1552,23,97,56
1553,17,99,52
1554,14,44,21
1555,24,132,53
1556,22,77,53
1557,22,97,55
1558,14,84,41
1559,136,134,99
1560,23,83,49
1561,38,131,78
1562,38,131,78
1563,28,12,9
1564,16,103,44
1565,23,127,66
1566,26,111,60
1567,19,126,56
1568,24,132,53
1569,46,61,76
1570,14,44,21
1571,23,127,66
1572,16,117,47
1573,23,97,56
1574,27,137,64
1575,17,99,52
1576,24,132,53
1577,16,103,44
1578,14,44,21
1579,14,44,21
1580,47,73,99
1581,26,111,60
1582,38,131,78
1583,27,90,80
1584,22,97,55
1585,20,103,50
1586,23,127,66
1587,25,72,51
1588,28,12,9
1589,16,117,47
1590,28,12,9
1591,16,103,44
1592,24,111,64
1593,25,72,51
1594,16,103,44
1595,38,36,22
1596,27,137,64
1597,19,126,56
1598,178,170,61
1599,24,110,59
1600,23,91,55
1601,26,111,60
1602,24,132,53
1603,16,117,47
1604,54,129,117
1605,35,115,84
1606,23,91,55
1607,27,137,64
1608,25,72,51
1609,38,131,78
1610,20,79,44
1611,14,84,41
1612,17,99,52
1613,28,12,9
1614,27,137,64
1615,22,97,55
1616,14,84,41
1617,24,110,59
1618,35,115,84
1619,25,97,69
1620,21,105,57
1621,26,106,55
1622,36,56,64
1623,26,122,54
1624,22,77,53
1625,14,84,41
1626,46,107,107
1627,21,105,57
1628,39,125,80
1629,24,132,53
1630,25,111,48
1631,24,91,40
1632,25,111,48
1633,21,120,54
1634,31,83,80
1635,18,116,57
1636,22,63,54
1637,19,118,48
1638,25,97,69
1639,26,122,54
1640,19,96,53
1641,120,121,63
1642,28,119,65
1643,28,110,67
1644,26,122,54
1645,39,125,80
1646,39,125,80
1647,18,116,57
1648,21,120,54
1649,18,116,57
1650,210,208,60
1651,25,87,69
1652,21,105,57
1653,17,120,52
1654,25,111,48
1655,25,111,48
1656,18,103,48
1657,19,118,48
1658,26,106,55
1659,28,119,65
